0,1,2,3,4,5,6,7,8,9
Eşikte Beklemek,Yağız Gönüler,PROFİL KİTAP,"Eşikte durulmaz, eşikte beklenir. Durmak, karar vermektir. Eşik, karar yeri değildir. Orada, verilecek karar beklenir. Eşiğin ötesinden gelecek karar, beklemeyi bilene ansızın gelir. Duran, zaten kararını kendi vermiştir. İnsan her yerde durabilir. Bir parkta, trafik ışığının altında, market kuyruğunda, otobüs durağında. Fakat insan her yerde bekleyemez. Bekleme yapma hakkını kullanacağı en nadide yer eşiktir. Bekleyen, arayandır. Bekleyen, aradığının ne olduğunu bilendir. Bekleyen, mutlaka ama mutlaka bulacak olandır. Çünkü bulma istidadı olmasaydı, eşiğin ötesindeki onu eşiğine almazdı. Hakkıyla arayanlar Hakk'ı bulur, demişler. Kimler demiş? Vaktiyle eşikte bekleyenler. Zaten en güzelini de onlar söyler, durmayanlar ama bekleyenler.","Yayın Tarihi:
06.02.2023


ISBN:
9786258498691


Dil:
TÜRKÇE


Sayfa Sayısı:
144


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,0,"




                    Okuyacağım                


                    8                






                    Okuyorum                


                    0                






                    Okudum                


                    0                


",218," 39,60"
Küçük Ağaç'ın Eğitimi,Forrest Carter,SAY YAYINLARI,"Egemenlik ve güç tutkusu peşinde koşan Beyaz Adam’ın acımasızca yok ettiği Çerokilere ithaf edilen bu kitap, insanı umursayan, acılarını paylaşan, yaşamın bütünselliğini savunan bir kültürün mesajı... Evrensel dostluk ve barışın hikâyesi... İnsani duyarlılığın görkemli direnişi... Yüzeysel ve mekanik ilişkilerin hâkim olduğu günümüzde, yitirilen değerlere saygı duruşunda bulunma denemesi... Heidi, Küçük Prens, Şeker Portakalı ve Martı’daki samimiyeti, dürüstlüğü özleyenler; coşmak, sevmek, özgür olmak, hüzünlenmek, doya doya ağlamak isteyenler için... En çok da kitle iletişim araçlarının kölesi olanlar, yaratıcılığı körelten eğitimi sorgulamak isteyenler için... ","Çevirmen:
 Şen Süer Kaya


Yayın Tarihi:
02.12.2022


ISBN:
9789754680942


Dil:
TÜRKÇE


Sayfa Sayısı:
280


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 19.5 cm",5,813,"




                    Okuyacağım                


                    745                






                    Okuyorum                


                    106                






                    Okudum                


                    1.513                


",25.353," 72,00"
Şimdiki Çocuklar Harika,Aziz Nesin,NESİN YAYINEVİ,"Bu romanda, çocukların gözüyle büyüklerin nasıl göründüğü anlatılıyor.Bu romanda, çocuklar anababalarını, öğretmenlerini ve büyüklerini eleştiriyor.Bu roman, çocuk eğitiminde gerekli sanılan, günümüzde geçerli birtakım değer yargılarının yanlışlığını anlatıyor.Bu roman, çocukların büyüklerine karşı haklarını ve kendilerini savunmalarıdır.Bu romanı, salt çocuklar için değil, anababalarla öğretmenler için de yazdım.Aziz Nesin","Çizer:
 Semih Poroy


Yayın Tarihi:
01.10.2013


ISBN:
9789759038458


Dil:
TÜRKÇE


Sayfa Sayısı:
224


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13 x 19.5 cm",5,404,"




                    Okuyacağım                


                    380                






                    Okuyorum                


                    51                






                    Okudum                


                    1.071                


",17.659," 44,44"
Bereketli Topraklar Üzerinde,Orhan Kemal,EVEREST YAYINLARI,"""Bu kitap, kendi bilgi ve görgülerim dışında, bir lokma ekmek için kötü iş şartları içinde zehir gibi bir hayatı yaşayanlardan derlenmiş malzemeyle meydana gelmiştir. Yayımlanmadan önce, çeşitli ırgat, usta, usta yardımcısını toplayarak bir gece sabaha kadar okudum onlara. Dinlediler. 'Pardon,' dediler, 'bu bu kadar olur. Bütün anlattıkların doğru. Eksik bile. Çukurova'nın bereketli topraklarında öyle işler olur ki, aklın durur. Sana anlatsak, bir değil beş roman çıkarırsın...'""","Yayın Tarihi:
22.11.2022


ISBN:
9789752895546


Dil:
TÜRKÇE


Sayfa Sayısı:
380


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.54 x 19.5 cm",5,170,"




                    Okuyacağım                


                    266                






                    Okuyorum                


                    28                






                    Okudum                


                    409                


",3.496," 82,80"
Gurur ve Önyargı (2 Cilt) (Cep Boy) (Tam Metin),Jane Austen,KARBON KİTAPLAR,"Bennet ailesinin, evlilik çağındaki beş kızlarının hayatı, Netherfield Köşkü’ne taşınan yeni kiracılar sayesinde tamamen değişir. Genç, güzel ve zeki Elizabeth Bennet’in tanıklık ettiği olaylar ‘Gurur ve Önyargılar’ını zamanla ortadan kaldırır.İngiliz edebiyatının romantik kült eserlerinin sahibi Jane Austen, Gurur ve Önyargı’da zarif bir mizahla, aşkı ve erdemi konu alıyor. Aynı zamanda toplumdaki kadın imajının ve statü farklılıklarının irdelenmesi, romanı, feminist felsefenin ilk örnekleri arasına koyuyor.","Çevirmen:
 Ayşe Nur Buğalı


Yayın Tarihi:
07.08.2019


ISBN:
9786057803641


Dil:
TÜRKÇE


Sayfa Sayısı:
504


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
10.5 x 15 cm",5,110,"




                    Okuyacağım                


                    162                






                    Okuyorum                


                    9                






                    Okudum                


                    179                


",5.637," 11,80"
Agatha’nın Anahtarı,Ahmet Ümit,YAPI KREDİ YAYINLARI,"Tasarlanmış cinayet iyi bir organizasyonu gerektirirDünyaca ünlü polisiye yazarı Agatha Christie İstanbul’da gizemli şekilde ortadan kaybolur. Yazarın on bir gün boyunca yaşadıkları günümüzde dahi esrarını korumaktadır. Christie’nin sırra kadem bastığı günlerde kimlerle, nerede olduğunu açıklamaksa yine bir polisiye yazarına nasip oluyor; Ahmet Ümit –kurgu olsa da– bu sırrı ifşa ediyor. Agatha Christie’nin “kusursuz bir cinayetin olamayacağına” dair inancıysa belki de sonsuza dek değişiyor. Kim başka birinin yerine ölmek ister ki?Agatha Christie öyküsüyle açılan kitap, gücünü enerji yüklü kısa öykülerden alıyor. Başkomser Nevzat’ı daha çok sahada gördüğümüz, iyi bir polisiyeye has tüm incelikleri ve yüksek heyecanı bir arada barındıran Agatha’nın Anahtarı, belki de Ahmet Ümit’in en enerjik, deli dolu eseri. Hiçbir şey söylemedi Talat, sadece kederli gözlerle baktı yüzüme. Şimdi eli kanlı bir katil değil, yüreği acıyla dolu bir baba duruyordu karşımda...","Yayın Tarihi:
22.11.2019


ISBN:
9789750846229


Dil:
TÜRKÇE


Sayfa Sayısı:
152


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 23 cm",5,88,"




                    Okuyacağım                


                    110                






                    Okuyorum                


                    13                






                    Okudum                


                    283                


",4.010," 26,40"
"Omuzlarımda Dünya  Hikayem, Hayatımdır",Prof. Dr. Nurullah Genç,TİMAŞ YAYINLARI,"Sibirya gazisi, bilge ve lider bir adam olan Bekir’in erdem ve iyilik timsali oğlu Seyfullah…Yolu ve okulu olmayan uzak bir dağ köyünde bir rüyası, bir hayali var Seyfullah’ın: Oğlu Nurullah’ı okutmak…Engeller, sorunlar ve imkânsızlıklar baba ve oğulun hayallerinden daha büyük.Başarmak için çok çalışmalı, asla yılmamalı ve sabretmeli.Bir kış günü başlayan uzun, meşakkatli yolculuk ve dünyayı omuzlarında taşıyan bir umut.Onlara destek olan ise güzel insanlar ve duanın gücü.Omuzlarımda Dünya, Türkiye’nin, yönetim sanatı ve liderlik alanındaki önemli bilim insanlarından, şair ve yazar Prof. Dr. Nurullah Genç’in ömrünce geçtiği zorlu yolları kendisinden dinlediğimiz ve kayda geçirdiğimiz bir başucu kitabı. Hâtıraları okurken bazen gülümseyecek, bazen hüzünlenecek, çokça düşünecek ve hayata dair yol işaretleri bulacaksınız.Omuzlarımda Dünya’nın sayfalarında, yaşanılması çok daha zor hale gelen yeryüzünün ve çölleşen insanlığın, medeniyetimizdeki ilim ve irfan iklimini aradığını iliklerinize kadar hissedeceksiniz.Dünya öylesine bir girdabın içinde ki sevgiyi kanatlandıran yeni bir ses, önce başkaları diyebilen yeni bir nefes bekliyor.Dünya, Nurullah Genç’in şiir dolu yüreği, akıcı üslubu ve keyifli anlatımıyla işaret ettiği pencerelerden bakmayı bilenlerin ufkunu bekliyor.Sadece şu cümle dahi insanlığın sloganı olabilseydi, hayatta neler değişirdi bir düşünelim:Yardım etmek üzere uzandığınız her el, kendi elinizdir.","Yayın Tarihi:
09.01.2023


ISBN:
9786050835755


Dil:
TÜRKÇE


Sayfa Sayısı:
344


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,86,"




                    Okuyacağım                


                    180                






                    Okuyorum                


                    23                






                    Okudum                


                    156                


",4.127," 62,70"
Şeytanın Çırağı,Şiro Hamao,İTHAKİ YAYINLARI,"Sayın Savcı Tsuchida, bir katil zanlısı olarak burada tutuluyorum. Fakat belki de aslında katil ben değilim. Evet. Belki. Böyle söylemek zorunda kaldığım için üzgünüm.” Japon polisiyesinin temellerini atan yazarlardan biri olan ve Japonya’nın en ünlü polisiye yazarı Edogava Ranpo’yu da etkileyen Şiro Hamao, Şeytanın Çırağı’ndaki iki kısa romanda iki farklı cinayetin portresini tüyler ürpertecek şekilde çiziyor.  İlk kısa roman “Şeytanın Çırağı”nda yazdığı günlük yüzünden genç bir kadının ölümünden sorumlu tutulan anlatıcı, davanın savcısına gönderdiği sarsıcı mektupta hem başka suçları için günah çıkarıyor hem de yaptıkları için çocukluk arkadaşı olan savcıyı suçluyor. İkinci kısa roman “Onları Öldürdü mü?”de genç bir avukat, herkes tarafından cinayeti işlediğine kesin gözüyle bakılan ve suçunu kabul de eden bir adamın masum olma ihtimalinin peşinden gidiyor.","Çevirmen:
 Nilay Çalşimşek


Yayın Tarihi:
23.01.2023


Orijinal Adı:
Akuma no deshi


ISBN:
9786258475418


Dil:
TÜRKÇE


Sayfa Sayısı:
128


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,52,"




                    Okuyacağım                


                    138                






                    Okuyorum                


                    9                






                    Okudum                


                    172                


",2.992," 25,64"
Festergrimm (Karton Kapak),Thomas Taylor,TİMAŞ GENÇ,"MEKANİK BİR DEV UYANIRKEN, KASABA İÇİN ZAMAN DARALIYOR! Büyük Nautilus Oteli’nin Kayıp Eşya Koruyucusu Herbie ve korkusuz arkadaşı Violet, şu ana dek Tuhaf Deniz Kasabası’nın pek çok sırrını ortaya çıkarmıştır: Dalgaların altında gizlenen, sahillere vuran ve kilitli kapıların ardında yatan sırlar. Zeki ve acımasız düşmanları Sebastian Yılanbalık, kasabanın soğuk ve fırtınalı bir gününde ölümden dönmüşçesine ortaya çıkıp uzun süredir kapalı olan balmumu müzesini açma planlarını anlattığında, maceraperest ikili onun kötü niyetlerinden şüphelenir. Araştırmaları onları kasabanın sırlarla dolu efsanevi geçmişine götürdüğünde, haklı olduklarını anlarlar. Sebastian Yılanbalık, anahtarının Herbie’de olduğunu inandığı bu sırrı ortaya çıkarmak için her şeyi göze almıştır. Ölümden dönen ezeli baş düşman… Ürkütücü efsaneler… Hareket eden balmumu heykelleri… Ve kasabayı kasıp kavuran devasa bir robot… Devamı için yeterince cesaretli misin?","Çevirmen:
 Barış Purut


Yayın Tarihi:
06.12.2022


ISBN:
9786050846379


Dil:
TÜRKÇE


Sayfa Sayısı:
320


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 20.5 cm",5,10,"




                    Okuyacağım                


                    44                






                    Okuyorum                


                    6                






                    Okudum                


                    22                


",810," 70,00"
Aşk Çıkmazı,Ali Hazelwood,NEMESİS KİTAP,"Sadie ile yakışıklı düşmanı,asansörde mahsur kaldıklarında rekabetlerinive aşklarını bir sonraki seviyeye taşıyacaklardı. Mühendis olmak, özellikle de tüm zorluklarına rağmen kadın bir mühendis olmak, Sadie için bitmek bilmeyen mücadele anlamına geliyordu. Bununla birlikte, kalbini paramparça eden adamla küçücük bir asansörde –hem de saatlerce– mahsur kaldığında, bu savaştan sağ çıkabileceğinden emin değildi. Erik büyük hatası yüzünden istediği kadar özür dileyebilirdi; fakat genç kadın onu affetmemeye kararlıydı.Sadie’nin en karmaşık batıl inançları bile böylesine garip bir kavuşmayı öngöremezdi. Erik, üşüdüğü için ceketini çıkarıp ona uzatırken ve bakışları yumuşarken bile tam bir çelişkiydi. Böylece genç kadının aklında önemli bir soru şekillendi:Taş kalpli düşmanı göründüğünden daha fazlasıolabilir miydi? ","Çevirmen:
 Beril Tüccarcıbaşıoğlu Uğur


Yayın Tarihi:
01.03.2023


Orijinal Adı:
Stuck with You


ISBN:
9786256947184


Dil:
TÜRKÇE


Sayfa Sayısı:
136


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",4,2,"




                    Okuyacağım                


                    6                






                    Okuyorum                


                    0                






                    Okudum                


                    1                


",810," 70,00"
Aşk ve Öbür Cinler,Gabriel Garcia Marquez,CAN YAYINLARI,"Ustalık döneminin doruklarında dolaşan Gabriel Garcia Marquez'in, gençliğinde, günlük bir gazetenin muhabiriyken tanık olduğu bir olaydan yola çıkarak yazdığı bu roman, 1994 yılında ilk kez yayımlandığında hem dünyada hem Türkiye'de çok ses getirmişti. Çok eski bir manastırın yıkıntıları üzerine, beş yıldızlı bir otel yapılacaktır. Manastırın mahzenindeki mezarlar kazılıp boşaltılırken, bir mezarda bakır rengi canlı bir saç yığını bulunur. Bu gür saçlar çekilip çıkarılmakta, ama bir türlü sonu gelmemektedir; sonunda hâlâ bir kız çocuğunun kafatasına yapışık son saç telleri de dışarı çıkar. O harikulâde saçlar yirmi iki metre, on bir santim uzunluğundadır. Gabriel Garcia Marquez, yıllar önce tanık olduğu bu ilginç olaydan yola çıkarak, çocukluğunda büyükannesinden dinlediği bir köpek ısırması sonucunda kuduzdan ölen küçük bir kızın masalını birleştirerek olağanüstü güzellikteki bu yeni romanını yazmış. İnci Kut'un İspanyolca aslından büyük bir özenle Türkçeye çevirdiği Aşk ve Öbür Cinler, bu ünlü yazarın yarattığı büyülü gerçekçiliğe yeni bir örnek.","Çevirmen:
 İnci Kut


Yayın Tarihi:
09.05.2019


ISBN:
9789750736636


Dil:
TÜRKÇE


Sayfa Sayısı:
184


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
3. Hm. Kağıt


Boyut:
13.5 x 19.5 cm",5,239,"




                    Okuyacağım                


                    519                






                    Okuyorum                


                    35                






                    Okudum                


                    616                


",11.017," 42,90"
Od,Prof. Dr. İskender Pala,KAPI YAYINLARI,"Her yazdığı romanla yüz binlerin kalbini feth eden İskender Pala yeni romanı ‘OD’ ile yeniden  okurlarını selamlıyor. Od bir Yunus Emre romanı.  Gök kubbemizin her zaman parlayan ve hep çok sevilen, şiirleri gönülden gönüle dolup dilden dile dolaşan Yunus Emre, bu kez OD’un ana kahramanı. İskender Pala’nın ilim ve kültür adamı olmasının yanında, yazar kişiliğinin imbiğinden geçirilerek aşkın tahtına bir kez daha oturtuluyor. 13. yüzyılın her bakımdan kavruk ve yanıp yıkılan ortamına Yunus Emre’nin gelişi tarihi atmosfer içerisinde hakiki anlamına kavuşturuluyor. Yıkıntılar ve yangınlar içinden bir gönül ve bir insanlık anıtının inşa edilişi cümle cümle anlatıyor ve elbette kalbe dokuna dokuna yol alıyor. Romanın her sayfasında Yunus’un hamlıktan saflığa geçişi okunuyor.Biliyorum,“Biz bu ilden gider olduk,kalanlara selam olsun,” demişti…Yine Biliyorum,“Bizim için hayır dua kılanlara selam olsun.” Demişti…Ve Sevgili’ye gittiği o geceden sonra adının dilden dile,Aşkının gönülden gönüle dolaştığını da biliyorum…Şimdilerde ona kimisi Âşık Yunus, Miskin Yunus…Derviş Yunus…Varsın onu da desinler.Ve Türk yurtlarında, onu en çok “Bizim Yunus” diye çağırırlar.Biliyorum.","Yayın Tarihi:
19.09.2020


ISBN:
9786054322848


Dil:
TÜRKÇE


Sayfa Sayısı:
361


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 19.5 cm",5,2.642,"




                    Okuyacağım                


                    656                






                    Okuyorum                


                    92                






                    Okudum                


                    3.354                


",26.684," 54,00"
Körlük,Jose Saramago,KIRMIZI KEDİ YAYINEVİ,"Adı bilinmeyen bir ülkenin adı bilinmeyen bir kentinde, arabasının direksiyonunda trafik ışığının yeşile dönmesini bekleyen bir adam ansızın kör olur. Ancak karanlıklara değil, bembeyaz bir boşluğa gömülür. Arkasından, körlük salgını bütün kente, hatta bütün ülkeye yayılır. Ne yönetim kalır ülkede, ne de düzen; bütün körler karantinaya alınır. Hayal bile edilemeyecek bir kaos, pislik, açlık ve zorbalık hüküm sürmektedir artık. Yaşam durmuştur, insanların tek çabası, ne pahasına olursa olsun hayatta kalmaktır. Roman, kentteki akıl hastanesinde karantinaya alınan, oradan kurtulunca da birbirinden ayrılmayan, biri çocuk yedi kişiye odaklanır. Aralarında, bütün kentte gözleri gören tek kişi olan ve gruptakilere rehberlik eden bir kadın da vardır. Bu yedi kişi, cehenneme dönen bu kentte, hayatta kalabilmek için inanılmaz bir mücadele verir. Saramago’nun müthiş bir gözlem gücüyle betimlediği bu kaotik dünya, insanın karanlık yüzünün simgesi. Körlük, ürkütücü bir roman, beklenmedik bir felaketi yaşayan bir toplumun nasıl çöktüğünün, nasıl bencilleştiğinin ve değer yargılarını yitirdiğinin hikâyesi. Konusunun ürkütücülüğüne rağmen olağanüstü bir şiirsellikle anlatılmış bu unutulmaz roman, usta yazarın belki de en etkileyici yapıtı.","Çevirmen:
 Işık Ergüden


Yayın Tarihi:
03.05.2021


Orijinal Adı:
Ensaio sobre a Cegueira


ISBN:
9786052980811


Dil:
TÜRKÇE


Sayfa Sayısı:
336


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 19.5 cm",5,5.278,"




                    Okuyacağım                


                    5.759                






                    Okuyorum                


                    771                






                    Okudum                


                    10.491                


",149.024," 100,80"
Kumarbaz,Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK,"Kumarbaz, Dostoyevski’nin otobiyografik bir romanı aslında. Yazar gençliğinde kapıldığı kumar tutkusunu ve ondan kazanacağı paraların hırsını, genç öğretmen Aleksey İvanoviç üzerinden betimler. Yanında çalıştığı ailenin güzel üvey kızına duyduğu aşk, kumarla olan imtihanından çok daha ağırını yaşatacaktır ona. Dostoyevski’nin çok kısa bir sürede yazdığı Kumarbaz, pek çok dile çevrilmiş ve dünya edebiyatının en çok okunan klasiklerinden biri olmuştur.","Çevirmen:
 İpek Söylemez


Yayın Tarihi:
24.11.2021


ISBN:
9786257751742


Dil:
TÜRKÇE


Sayfa Sayısı:
184


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,7,"




                    Okuyacağım                


                    22                






                    Okuyorum                


                    7                






                    Okudum                


                    34                


",1.179," 9,90"
Ahi /Bir Ahi Evran Romanı,Fatih Duman,NESİL YAYINLARI,"Canım kâri, ben yazmaktan vazgeçmeyeceğim; yazmak benden vazgeçmedikçe.Yazacağım ve güzelleşecek her şey. Çünkü dedim sana; yazmak hayalden bir dünya kurmak gibi ve bazı şeylerin de hayalleri kendilerinden daha güzel.…Bu kez sana, bütün bu derdime bir dert daha katıp birini anlattım. Hatta şöyle bir cümle kurdum kitabın içinde;“Kitaplar bazen birilerini hatırlatmak için değil başka birilerini unutturmak için yazılır ama biz bilmiyoruz diye onlar yok mânâsına gelmez ki.”İşte bu sefer öyle birini anlattım sana; Ahî Evran’ı. Elbette ismini duydun ve biliyorsun. Ama o kadar. Aslında kimdi? Neden önemliydi ve neden unutturuldu? Pek çoğuna cevap verebilirim belki ama hepsine değil. Zira dedim ya “söylemediklerim de var.”…Zamanı aşacak bir hikâyem var sana anlatacağım. Bugünü, dünü ve maziyi bir arada bulacağın bir hikâye...","Editor:
 Yusuf Yıldız


Yayın Tarihi:
13.09.2022


ISBN:
9786051837024


Dil:
TÜRKÇE


Sayfa Sayısı:
240


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,34,"




                    Okuyacağım                


                    116                






                    Okuyorum                


                    18                






                    Okudum                


                    62                


",1.631," 49,00"
Yeniden Biz Olmak,Hakan Özkan,OLİMPOS YAYINLARI,"“Kim mutlu bir hayat istemez ki? Ama hayatta neyin mutlu olmamıza yardımcı olabileceğini anlamak için doğru bakış açısına sahip değiliz. Allah bizi bu sebeplerle imtihana sokar, bazen kolay bazen zor. Çünkü bizler eşsiz ve değerli olduğumuzun farkında değiliz. Farkına varmanız ve yaşama sevincinizi yeniden keşfetmeniz için işte size sevgi dolu, pozitif bir kitap…” Elinizdeki bu kitapta Hakan Özkan’ın; yalnızlık, aldatılma, kaybetme korkusu, terk edilme, aşağılanma, değersizlik, mutsuzluk gibi insanın hiçbir zaman kaçamadığı durumlara dair danışanlarıyla yaptığı görüşmelerden ilginç hikâyeler bulacaksınız. Hakan Özkan bu hikâyeleri aktarırken insanın, yaşadığı acı verici olaylardan ve ilişkilerden kurtulması için gereken yolları duygusal ve çözüm odaklı basit bir dille anlatıyor.","Yayın Tarihi:
02.02.2023


ISBN:
9786256411166


Dil:
TÜRKÇE


Sayfa Sayısı:
224


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",3,1,"




                    Okuyacağım                


                    8                






                    Okuyorum                


                    0                






                    Okudum                


                    5                


",170," 45,10"
Bir Dinozorun Anıları,Prof.Dr. Mina Urgan,YAPI KREDİ YAYINLARI,"Mina Urgan ""Bir Dinozorun Anıları""nda açıkyürekli,yalın ve naif bir dille anlatıyor;kendini,çevresindekileri ve bir coğrafyada olan biteni... Halide Edip, Necip Fazıl, Abidin Dino,Neyzen Tevfik, Sait Faik,Yahya Kemal, Ahmet Haşim, Atatürk ve başka pek çok isimle zenginleşmiş bir ömrü...Mina Urgan'ın anılarını bazen coşkuyla bazen buruklukla ama hep gülümseyerek okuyacaksınız.","Yayın Tarihi:
03.10.2022


ISBN:
9789753638326


Dil:
TÜRKÇE


Sayfa Sayısı:
353


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
3. Hm. Kağıt


Boyut:
13.5 x 21 cm",5,401,"




                    Okuyacağım                


                    472                






                    Okuyorum                


                    50                






                    Okudum                


                    812                


",9.889," 56,10"
Kinyas ve Kayra,Hakan Günday,DOĞAN KİTAP,"""Hiç uykum yok. Hiç uyuyamıyorum. Domuz gibi içiyorum. Ama gözlerimi kapalı bile tutamıyorum. Sabaha beş saat var. Annemi düşünüyorum. Nerededir şimdi? Aynada kendime bakıyorum bazen. Ve tek kelime etmesem bile vücudum yaşadıklarımı, hayattan ne anladığımı anlatmaya yetiyor. Sağ omzuma kendi çizdiğim kelebek, beğenmediğim için üzerine attığım çarpı işareti ve altında aynı kelebeğin bir Japon tarafından çok daha iyi işlenmişi. Sol dirseğimin iki parmak yukarısındaki kurşun yarası. Bileklerimdeki otuz dört dikiş. Medeniyeti bir aralar, herkes gibi yaladığımı kanıtlayan apandist ameliyatımın izi. Ve sırtımı çok, hızlı yaşlandım! Ancak hayattayım.Kayra, bir gün bana 'Mutsuzluğuna hiçbir çare aramıyorsun' demişti.""","Kapak:
 Emre Orhun


Yayın Tarihi:
27.04.2022


ISBN:
9789759917951


Dil:
TÜRKÇE


Sayfa Sayısı:
531


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 19.5 cm",4,688,"




                    Okuyacağım                


                    1.034                






                    Okuyorum                


                    129                






                    Okudum                


                    1.565                


",15.718," 114,58"
Çankaya,Falih Rıfkı Atay,POZİTİF YAYINLARI,"“Atatürk ne yaptığını, nasıl yapacağını, kimlere ne yaptıracağını, kimleri nasıl ve nerede değerlendireceğini bilen pek hesaplı bir adamdı.   Bir fıkrasından, bir hikâyesinden, bir yazı veya nutkundan hemen anladığımızı sandığımız Gazi, aradıkça yeni bir sır verir. Yaklaşılan bir dağ gibi büyür. Onun hâl tercümesi, yeni Türk devletinin tarihi demektir. Tarihimizi bilmek için Gazi’yi öğrenmeliyiz!”Falih Rıfkı ATAY    “Hiç şüphesiz ki F. Rıfkı Atay’ın  Çankaya, Atatürk’ün Hatıraları kitapları her türlü düşünce sahibinin mutlaka okuması gereken kitaplardır. F. Rıfkı Atay’ın sürükleyici, zengin muhtevalı, zıt görünüm ve olaylara dayanarak tezlerini savunan bir üslubu vardır.”Prof. İlber ORTAYLI    Kurduğu cumhuriyet ile adını tarihin şanlı sayfalarına yazdıran, Türk’ün ne olduğunu dünyaya gösteren, olağanüstü şartlarda ortaya çıkmış sıra dışı bir liderdi Atatürk. O, neredeyse işgal edilmemiş toprağı kalmayan bir ulusun, küllerinden doğmasına önderlik etti.                Büyük başarılara imza atmış Atatürk hakkında birçok kitap ve makale yazıldı. Onun hakkındaki her şey etraflıca tartışıldı, hâlâ tartışılıyor. Bu yazıların birçoğu ancak Atatürk öldükten sonra yazıldığı için, Falih Rıfkı Atay gibi onu yakından tanıyan ve uzun yıllar yanında bulunanların ilk elden verdiği bilgilerin kıymetiharbiyesi çok daha önemlidir.                Falih Rıfkı Atay, 1923’ten 1938’e kadar Atatürk’ün yanında bulunmuş, onun yaşadıklarını bizzat kendisinden dinlemiş ve hatta birçoğuna şahit olmuş devrin önemli gazetecilerindendir. Çankaya, Atatürk’ü doğumundan okul yıllarına, savaştığı cephelerden yaptığı inkılaplara, tartışma sofralarından insani yönlerine kadar her detayı anekdotlara yer vererek anlatan muazzam bir kitaptır.                Atatürk’ü ve Türkiye’nin dönüşümünü her yönüyle anlamak ve algılamak için, Çankaya kitabı onlarca yıldır en önemli kaynak olmaya devam etmektedir. Bu nedenle her Türk vatandaşının mutlaka okuması gereken çarpıcı bir eserdir!","Yayın Tarihi:
31.08.2021


ISBN:
9789756461051


Dil:
TÜRKÇE


Sayfa Sayısı:
656


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,542,"




                    Okuyacağım                


                    748                






                    Okuyorum                


                    64                






                    Okudum                


                    767                


",14.383," 92,40"
